id,Group_Name,address,alt_name,cert,country,globalid,property_id,latitude,longitude,mill_name,objectid,prnt_comp,rspo_model,state,sub_state,geometry,treeloss_sum,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019
0,ROYAL GOLDEN EAGLE,2-High Confidence, ,RSPO Certified,Indonesia,{D40B067E-013F-44DF-86D1-21B48FD714D2},PO1000000021,0.43444,101.825,BUATAN I,3085,INTI INDOSAWIT SUBUR,"RSPO Certified, MB",Riau,Siak,"{'type': 'Polygon', 'coordinates': [[[101.82499999977468, 0.8843832976143766], [101.69931163867956, 0.8664741627192327], [101.58363078248173, 0.8141728034110693], [101.48716711061698, 0.7316436070246272], [101.41759880117348, 0.6254572430345674], [101.38046167100042, 0.5040670395763026], [101.3787095059035, 0.377135784471668], [101.41247999195883, 0.2547666592555565], [101.47908433034455, 0.14669940568052012], [101.5732211714355, 0.06153544930071068], [101.6873980739772, 0.00605343507920602], [101.81252738922603, -0.01533039460319831], [101.93864946681846, -0.000913898166589933], [102.05572560821096, 0.04815537639673544], [102.15443734860196, 0.12797160485803827], [102.22692811372875, 0.23218175671517416], [102.26742813919259, 0.3524913767058305], [102.27271318200528, 0.47932466582112443], [102.2423609614216, 0.6025863330279085], [102.17878521677034, 0.7124647733056207], [102.08704456823088, 0.8002129071129543], [101.97444089664577, 0.8588446842710908], [101.84993860044484, 0.883691736490856], [101.82499999977468, 0.8843832976143766]]]}",4629025.972549019,348015.4705882353,248305.06274509805,37208.08235294117,524691.9294117647,392447.6745098039,135600.2274509804,361171.9843137255,269895.2509803921,196884.2862745098,416509.8784313726,278825.3764705882,286298.8627450981,180493.5843137255,244296.5137254902,71985.17647058824,198414.337254902,159200.34901960785,145920.27450980392,132861.65098039218
1,MUSIM MAS,1-Fully Verified, ,RSPO Certified,Indonesia,{73E4913E-8C20-49E8-8ECE-4B7E3E540151},PO1000000054,0.07704,102.03084,BATANG KULIM,3088,MUSIM MAS,"RSPO Certified, IP",Riau,Pelalawan,"{'type': 'Polygon', 'coordinates': [[[102.03083999991046, 0.5269832979792347], [101.90516105025655, 0.5090750229562792], [101.78948748168138, 0.4567759748730625], [101.6930274480761, 0.3742498196966675], [101.62345861674228, 0.26806627777460534], [101.5863174179705, 0.1466777965984753], [101.58455914772202, 0.019746626605912483], [101.61832340851416, -0.10262407717976023], [101.68492312546398, -0.21069408041386115], [101.77905795996932, -0.29586109953491824], [101.8932354877062, -0.35134553385315154], [102.01836712588397, -0.37273038576995976], [102.14449168935596, -0.3583131946976362], [102.26156888751214, -0.30924172540338907], [102.3602791680543, -0.22942248701033827], [102.43276577343403, -0.12520944927492225], [102.4732597681253, -0.004897967975333737], [102.47853852883824, 0.12193557706675935], [102.44818170091136, 0.24519581491694503], [102.38460465798883, 0.35507158652659015], [102.29286683716622, 0.44281664511077307], [102.18026983090856, 0.5014459002144074], [102.05577668644789, 0.5262917707079444], [102.03083999991046, 0.5269832979792347]]]}",5312982.666666666,395073.60000000003,218258.76862745103,27505.603921568625,618218.6588235295,469610.3019607843,41633.549019607846,287712.53725490195,318228.4745098039,165305.0745098039,568780.243137255,493768.50980392157,417647.5999999999,262479.1843137255,270436.7725490196,86441.79215686274,258472.12941176468,132295.59607843138,126211.35294117646,154902.91764705884
2,CARGILL,2-High Confidence, ,RSPO Certified,Indonesia,{1B2B9C2A-7600-4859-86CC-0B9ABA885A9A},PO1000000058,-2.6081,104.12525,SUNGAI LILIN,3089,HINDOLI,"RSPO Certified, IP",Sumatera Selatan,Musi Banyuasin,"{'type': 'Polygon', 'coordinates': [[[104.12524999979959, -2.158156702795133], [103.99948531805745, -2.176058516014476], [103.88372250873998, -2.228340194452046], [103.78716971838631, -2.3108434907353446], [103.71751032659166, -2.4170058159264363], [103.68029226326564, -2.538381342431305], [103.67848585988796, -2.6653118630111474], [103.71224531436401, -2.7876944269764414], [103.77889318762138, -2.8957851002775667], [103.87313016044459, -2.980975148731798], [103.98745461136654, -3.036477782876054], [104.11275960543173, -3.0578703228537223], [104.23905998910902, -3.0434479075039094], [104.3562909729078, -2.9943599328735346], [104.45511320785332, -2.9145180614374655], [104.52765877691769, -2.8102833283184117], [104.56815780917955, -2.689957860286844], [104.57339586699902, -2.5631224007267384], [104.5429665683519, -2.439872916267847], [104.47930058573549, -2.3300172094005505], [104.38746979279396, -2.242295266217202], [104.27478269786414, -2.1836849656153348], [104.15020334547296, -2.15884797567632], [104.12524999979959, -2.158156702795133]]]}",3635971.8666666667,71896.26666666666,83387.32549019606,56593.50196078432,153343.21568627452,114812.49019607843,227261.5882352941,215950.90980392156,241981.15686274512,250727.26274509804,142431.04705882355,188369.88235294117,627415.6901960784,136455.00784313725,209777.29411764708,217680.83921568625,207320.54901960783,140150.49019607843,213008.15294117646,137409.19607843139
3,MUSIM MAS,1-Fully Verified, ,RSPO Certified,Indonesia,{82D1B64C-EFDB-4293-AF50-69AC2E3EC472},PO1000000092,0.19896,99.62659,AGROWIRATAMA,3095,AGRO WIRATAMA,"RSPO Certified, IP",Sumatera Barat,Pasaman Barat,"{'type': 'Polygon', 'coordinates': [[[99.62659000026734, 0.6489032975754966], [99.50090838981242, 0.6309947292380839], [99.38523284111608, 0.5786948927595799], [99.28877198818198, 0.4961677001673663], [99.21920363900226, 0.3899831955655624], [99.18206399044848, 0.2685941268527426], [99.1803078104554, 0.14166292779282993], [99.21407404720141, 0.019292762470528736], [99.28067504945568, -0.08877630279238523], [99.37481015687007, -0.1739422771227154], [99.48898697207959, -0.22942588586575932], [99.61411727066276, -0.25081038906256387], [99.74024043460875, -0.23639343495496123], [99.85731676033268, -0.18732271435730216], [99.95602710726693, -0.10750450274289841], [100.0285148147186, -0.0032924494507467527], [100.06901068960049, 0.11701839693275005], [100.07429157017002, 0.24385185470526813], [100.04393644657853, 0.3671125801711667], [99.98036012444626, 0.4769892621364515], [99.88862174012748, 0.5647353697419766], [99.77602295256074, 0.6233654851595899], [99.65152723069701, 0.6482117587567504], [99.62659000026734, 0.6489032975754966]]]}",1403221.0352941174,43245.99215686275,31674.50980392157,16245.96862745098,84012.90196078431,64451.490196078434,56403.63921568627,67304.74901960784,84772.72941176468,148092.81176470587,53195.450980392154,127066.66274509803,66494.98039215687,60739.42352941177,87913.89411764705,46307.50588235294,83282.74901960783,92375.99607843137,100281.12549019608,89358.45490196078
4,SIPEF,1-Fully Verified, ,RSPO Certified,Indonesia,{3DF84257-7BD9-4672-8B53-9202544A40A6},PO1000000095,3.01229,99.23557,BUKIT MARADJA,3098,EASTERN SUMATERA INDONESIA,"RSPO Certified, IP",Sumatera Utara,Simalungun,"{'type': 'Polygon', 'coordinates': [[[99.23557000017739, 3.462233297717238], [99.1096685896884, 3.444317951824864], [98.99380159492493, 3.3919998992343037], [98.89720035268923, 3.309448740035677], [98.82755558495718, 3.203242000451327], [98.79040504710802, 3.0818393677925875], [98.7886950039683, 2.954907507001801], [98.822549443403, 2.832549786380519], [98.88926400894209, 2.7245023877159666], [98.98352393755698, 2.6393605416661496], [99.09782802991913, 2.5838959959784624], [99.22308490536197, 2.5625195443794224], [99.3493345113445, 2.576931027241603], [99.46653806932164, 2.6259844602888744], [99.56537422391133, 2.7057789603944036], [99.63797866868103, 2.8099682749371886], [99.67856900217296, 2.9302644497397248], [99.68390556104437, 3.057095882162246], [99.65355165266766, 3.180367862713236], [99.58991197608928, 3.2902655698223118], [99.49804506819463, 3.378035911284543], [99.38526330994665, 3.436685904112243], [99.26055121166841, 3.4615414920697565], [99.23557000017739, 3.462233297717238]]]}",2202098.2705882355,161982.11372549023,56980.43529411765,76634.08627450981,131854.77647058823,122859.4980392157,103027.8862745098,81431.07843137256,55528.92156862745,198199.00392156863,164848.69803921567,136772.53333333333,101405.36862745098,68926.09411764707,132213.7882352941,107295.49803921567,165535.19607843139,116202.27843137254,111359.81960784314,109041.19607843137
5,SIPEF,1-Fully Verified, ,RSPO Certified,Indonesia,{1D1EDEAD-9A47-4B0D-AEA6-1808998A16C5},PO1000000099,2.06138,100.08122,PERLABIAN,3101,TOLAN TIGA INDONESIA,"RSPO Certified, IP",Sumatera Utara,Labuhanbatu Selatan,"{'type': 'Polygon', 'coordinates': [[[100.0812200002732, 2.511323297258319], [99.95542691429605, 2.4934102450384543], [99.8396559397474, 2.4410983569265032], [99.74312824037936, 2.358555307533087], [99.67352809636819, 2.2523560907233886], [99.63639124685581, 2.130958045795383], [99.63466604417133, 2.004026406820485], [99.66848150780403, 1.88166447409617], [99.73513966321899, 1.7736097444633836], [99.82933195044964, 1.6884597357682358], [99.94356216859215, 1.6329887415871378], [100.06874245451418, 1.6116095664818615], [100.19491524898956, 1.6260229000217028], [100.31204416644641, 1.675082180888553], [100.41081111268797, 1.754884702472547], [100.48335648644316, 1.8590817104648063], [100.52390391255962, 1.9793828506019753], [100.52922018455659, 2.106214970341089], [100.49887403655647, 2.2294831445318555], [100.43527294349632, 2.3393737384730433], [100.34347428571613, 2.4271358798833056], [100.23078484674448, 2.4857791461227565], [100.10617959326757, 2.5106315819123886], [100.0812200002732, 2.511323297258319]]]}",3552401.4627450984,97124.07450980392,122733.79215686275,62967.756862745104,247429.3960784314,344760.00784313725,180472.23529411768,137967.50980392157,92693.48235294118,345568.7137254902,254182.73725490196,221558.83921568628,219659.05882352943,164490.5529411765,206528.85098039213,137913.80784313724,196907.29803921568,199747.0588235294,152538.1176470588,167158.1725490196
6,MUSIM MAS,1-Fully Verified, ,RSPO Certified,Indonesia,{C978E1F8-26D8-4DA1-9D85-D852EE638836},PO1000000106,-2.38111,112.53972,SUKAJADI SAWIT MEKAR 1,3107,SUKAJADI SAWIT MEKAR,"RSPO Certified, IP",Kalimantan Tengah,Kotawaringin Timur,"{'type': 'Polygon', 'coordinates': [[[112.53971999984203, -1.9311667027103605], [112.41397326066127, -1.9490690626756626], [112.2982278410596, -2.001352210872208], [112.20169110606788, -2.083857441611492], [112.1320452994377, -2.1900215626303376], [112.09483690670672, -2.3113981860756296], [112.09303473413193, -2.4383287622745513], [112.12679173015253, -2.560710322899387], [112.19342986613013, -2.668799246799618], [112.28765018558543, -2.7539873457858115], [112.40195248260909, -2.8094884391052304], [112.5272321503678, -2.830880328161499], [112.65350691437168, -2.8164583551354188], [112.77071491593341, -2.767371777894106], [112.8695192764435, -2.687531822433862], [112.94205369189352, -2.583298925582697], [112.98254885967205, -2.4629746409472033], [112.98778992092464, -2.336139342780903], [112.95736934436854, -2.2128889476355624], [112.89371630069242, -2.1030315423586696], [112.80190118023417, -2.015307642953863], [112.68923128547753, -1.956695738460675], [112.56466981520506, -1.9318579971157186], [112.53971999984203, -1.9311667027103605]]]}",4672333.654901962,39379.541176470586,164589.47843137255,97159.38039215685,364371.7647058824,345876.2392156863,862649.6431372549,457578.32156862743,402044.0745098039,289156.50588235294,187781.71372549018,284539.13333333336,186906.34509803922,121064.49411764705,174252.55294117646,216389.0588235294,304379.28235294117,65618.99215686275,44300.36078431373,64296.77254901961
7,SIME DARBY,1-Fully Verified, ,RSPO Certified,Indonesia,{9DD995F6-8152-4E3F-998F-E81ED0E41CF4},PO1000000107,0.26894,110.4828,BUKIT AJONG,3108,SIME INDO AGRO,"RSPO Certified, MB",Kalimantan Barat,Sanggau,"{'type': 'Polygon', 'coordinates': [[[110.4827999998645, 0.7188832976567596], [110.3571166050311, 0.7009745609558118], [110.24143968314829, 0.6486742719375251], [110.14497816264297, 0.5661464838726545], [110.07540994795569, 0.45996142670461326], [110.03827111327941, 0.3385720207633547], [110.03651612949142, 0.21164080503478508], [110.07028356946628, 0.08927094879649498], [110.13688544567057, -0.018797578078838233], [110.23102090225493, -0.10396295271746805], [110.34519754201659, -0.15944608759907902], [110.47032732764298, -0.18083039063943482], [110.59644994626477, -0.1664135725435241], [110.71352601069178, -0.11734328168018969], [110.8122365976187, -0.03752565941756222], [110.88472508588718, 0.06668582881458199], [110.9252221227916, 0.18699631075283912], [110.93050423094529, 0.3138297184179786], [110.90015002356706, 0.4370907237573082], [110.83657398515948, 0.5469679282533177], [110.7448350897794, 0.6347146379916251], [110.63223504944145, 0.6933452472297743], [110.50773759349735, 0.7181917522097261], [110.4827999998645, 0.7188832976567596]]]}",2762299.050980392,84802.52549019609,118961.2862745098,40236.45490196079,119333.2431372549,103853.4392156863,88164.8,133951.53725490198,226313.03137254904,247736.7882352941,105232.51764705885,187922.96078431373,129752.2,120384.00392156864,173780.15686274512,134176.45882352942,253185.4,220354.85098039216,145862.2235294118,128295.1725490196
8,MUSIM MAS,1-Fully Verified, ,RSPO Certified,Indonesia,{5B01724A-6227-476D-BDBF-EC472D997D58},PO1000000134,-2.37025,112.60261,SUKAJADI SAWIT MEKAR 2,3119,SUKAJADI SAWIT MEKAR,"RSPO Certified, IP",Kalimantan Tengah,Kotawaringin Timur,"{'type': 'Polygon', 'coordinates': [[[112.6026100000577, -1.920306702017543], [112.47686406971545, -1.9382090881372653], [112.36111943643523, -1.9904923066415876], [112.26458343148103, -2.072997629917015], [112.19493824728983, -2.179161836839039], [112.15773030249005, -2.300538512754334], [112.1559283315532, -2.4274690916107677], [112.18968522322075, -2.5498506042384927], [112.25632291961088, -2.6579394444556455], [112.35054247951996, -2.74312745019031], [112.46484376180244, -2.798628469806222], [112.59012226740155, -2.8200203277266263], [112.71639585560557, -2.8055983758584384], [112.83360280394949, -2.7565118654594505], [112.93240634831157, -2.6766720016484054], [113.00494025874706, -2.57243919263521], [113.04543525756759, -2.4521149646094846], [113.05067646451688, -2.3252796741664707], [113.02025629318813, -2.202029235460871], [112.95660384339325, -2.0921717489411944], [112.86478943651213, -2.004447755959347], [112.75212032021818, -1.945835774742118], [112.62755965635853, -1.920997997452544], [112.6026100000577, -1.920306702017543]]]}",4611658.48627451,36829.29019607844,169350.25490196078,105974.43921568629,380067.57254901965,324762.4705882353,832069.7725490195,439545.4117647059,369866.3333333334,282383.2549019608,179764.01176470588,279352.90588235285,194154.85098039216,125370.39215686274,180102.3607843137,229123.83921568625,296687.368627451,69208.03921568628,45414.219607843144,71631.69803921568
9,REA HOLDINGS,1-Fully Verified, ,RSPO Certified,Indonesia,{0BEEA60F-59AA-4595-B90E-1711DBE16B79},PO1000000143,0.25854,116.14992,PERDANA,3122,REA KALTIM,"RSPO Certified, MB",Kalimantan Timur,Kutai Kartanegara,"{'type': 'Polygon', 'coordinates': [[[116.14992000018451, 0.7084832973992706], [116.02423688239917, 0.6905745857197892], [115.90856017550979, 0.6382743639559371], [115.8120987633182, 0.5557466643873044], [115.74253053520721, 0.44956168933857993], [115.70539158308014, 0.32817233351385694], [115.7036364216835, 0.2012411202617687], [115.73740367965462, 0.07887121808854765], [115.80400541969277, -0.029197388799122464], [115.89814081550225, -0.11436285256035199], [116.01231747056272, -0.1698460578642184], [116.13744732061224, -0.1912303906505028], [116.26357000837362, -0.17681355234143598], [116.3806461005841, -0.12774319761375935], [116.47935664252958, -0.04792548776525007], [116.55184500791731, 0.05628608444304766], [116.59234186830695, 0.17659662054364694], [116.59762379352475, 0.3034300356561914], [116.56726945284696, 0.42669099940284144], [116.50369337827198, 0.5365681262433427], [116.41195456749999, 0.6243147464956814], [116.29935472396934, 0.6829452823444662], [116.17485753748618, 0.7077917529373048], [116.14992000018451, 0.7084832973992706]]]}",2393379.0235294113,24392.90588235294,57703.807843137256,42266.81960784314,52648.42352941176,38433.321568627456,138024.14901960784,48257.52549019609,110907.02745098037,134622.76470588235,105428.27843137254,254024.1450980392,146200.19215686273,99252.70588235295,128600.89019607843,91305.44705882353,503867.07843137265,100831.85490196079,137599.13725490196,179012.54901960786
