,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
0,0,Distance,0.05516445643046533,29,36,39.0,ferrero,indonesia,asahan,2.706553,99.61797299999999,anugrah multi sawita,aek loba,anugrah multi sawita,pt socfin indonesia,unknown, socfin,sumatera utara,,po1000008388
1,1,Mill Name,13.229442471271431,100,44,0.0,ferrero,indonesia,pasaman barat,0.198958,99.626589,agrowiratama,agrowiratama sukajadi sawit mekar 1,agro wiratama,pt sukajadi sawit mekar,musim mas, pt musim mas,sumatera barat,"rspo certified, ip",po1000000092
3,3,Mill Company,1.4427330659761723,42,100,49.0,ferrero,indonesia,labuhanbatu,2.31725,100.07016899999999,negeri lama,bangun bandar,socfin indonesia,pt socfin indonesia,socfin, socfin,sumatera utara,"rspo certified, ip",po1000001250
4,4,Distance,0.09466772228167146,34,39,392.0,ferrero,indonesia,serdang bedagai,3.3483110000000003,98.950331,multi agrindo sumatera,bangun bandar,multi agrindo sumatera,pt socfin indonesia,unknown, socfin,sumatera utara,,po1000007473
5,5,Distance,0.09267961213876263,30,26,139.0,ferrero,indonesia,pelalawan,0.1510556,101.9750556,sei nilo,batang kulim,surya bratasena plantation,pt musim mas,unknown, pt musim mas,riau,,po1000004159
6,6,Distance,0.12024462854829734,31,42,51.0,ferrero,indonesia,aceh timur,4.8285,97.83994399999999,mutiara sawit lestari,blang simpo,mutiara sawit lestari,pt perkasa subur sakti,unknown, sime darby plantation,aceh,,po1000009355
7,7,Distance,0.18028912381460196,29,41,747.0,ferrero,indonesia,indragiri hilir,0.10319450989254801,103.03444540350401,agathis,guntung idaman nusa 2,th indo plantations,pt guntung idamannus,gama plantations, pt musim mas,riau,,po1000010255
9,9,Distance,0.10091207924236732,30,33,567.0,ferrero,indonesia,aceh singkil,2.46227654433,98.02821195919992,singkil sejahtera makmur,lae butar,singkil sejahtera makmur,pt socfin indonesia,unknown, socfin,aceh,,po1000010059
10,10,Distance,0.14377629326491512,63,62,1.0,ferrero,indonesia,kotawaringin timur,-2.381111,112.539722,sukajadi sawit mekar 1,maju aneka sawit,sukajadi sawit mekar,pt maju aneka sawit,musim mas, pt musim mas,kalimantan tengah,"rspo certified, ip",po1000000106
11,11,Distance,0.004161465607197297,100,92,15.0,ferrero,indonesia,rokan hilir,1.520525,100.7319,manggala,manggala,tunggal mitra plantations,pt tunggal mitra plantation,sime darby, sime darby plantation,riau,"rspo certified, ip",po1000000330
12,12,Distance,0.007500400000664484,100,100,17.0,ferrero,indonesia,musi banyuasin,-2.441389,104.419444,mukut,mukut,hindoli,pt hindoli,cargill, cargill,sumatera selatan,"rspo certified, ip",po1000003254
13,13,Distance,0.19517541247810788,37,38,90.0,ferrero,indonesia,siak,0.9562780000000001,101.140528,libo sawit perkasa,nagasakti,libo sawit perkasa,pt buana wiralestari mas,unknown, golden agriresources ltd,riau,,po1000004239
14,14,Distance,0.17435091052242846,0,17,139.0,ferrero,indonesia,pelalawan,-0.2232,102.095,ukui i,,inti indosawit subur,pankalang lesung,royal golden eagle, pt musim mas,riau,"rspo certified, mb",po1000000148
15,15,Distance,0.14836144736757556,100,89,25.0,ferrero,indonesia,kutai timur,1.2508059999999999,116.728917,pt dharma satya nusantara,pt dharma satya nusantara pks3,dharma satya nusantara,pt dharma satya,dharma satya nusantara (dsn), dharma satya,kalimantan timur,"rspo certified, ip",po1000000939
18,18,Distance,0.19450194960462516,20,29,487.0,ferrero,indonesia,nagan raya,4.11618,96.44256,fajar baizury & brothers,seunagan,fajar baizuri & brothers,pt socfin indonesia,fajar baizury, socfin,aceh,,po1000004565
20,20,Distance,0.005554679468703543,100,100,26.0,ferrero,indonesia,musi banyuasin,-2.6081,104.12525,sungai lilin,sungai lilin,hindoli,pt hindoli,cargill, cargill,sumatera selatan,"rspo certified, ip",po1000000058
