,brandid,umlid
0,1.0,po1000001252
1,1.0,po1000000134
2,1.0,po1000000451
3,1.0,po1000000054
4,1.0,po1000000706
5,1.0,po1000006505
6,1.0,po1000001775
7,1.0,po1000001061
8,1.0,po1000000355
9,1.0,po1000000939
10,1.0,po1000001777
11,1.0,po1000001251
12,1.0,po1000000352
13,1.0,po1000008388
14,1.0,po1000000092
15,1.0,po1000001250
16,1.0,po1000007473
17,1.0,po1000004159
18,1.0,po1000009355
19,1.0,po1000010255
20,1.0,po1000010059
21,1.0,po1000000106
22,1.0,po1000000330
23,1.0,po1000003254
24,1.0,po1000004239
25,1.0,po1000000148
26,1.0,po1000000939
27,1.0,po1000004565
28,1.0,po1000000058
29,1.0,po1000004567
30,1.0,po1000000316
31,1.0,po1000005868
32,2.0,po1000004269
33,2.0,po1000004351
34,2.0,po1000004554
35,2.0,po1000004072
36,2.0,po1000008158
37,2.0,po1000001637
38,2.0,po1000004218
39,2.0,po1000007515
40,2.0,po1000004842
41,2.0,po1000004942
42,2.0,po1000007627
43,2.0,po1000004476
44,2.0,po1000004344
45,2.0,po1000004215
46,2.0,po1000004078
47,2.0,po1000004575
48,2.0,po1000004513
49,2.0,po1000008388
50,2.0,po1000007549
51,2.0,po1000008214
52,2.0,po1000004500
53,2.0,po1000004214
54,2.0,po1000004931
55,2.0,po1000008591
56,2.0,po1000004228
57,2.0,po1000004481
58,2.0,po1000004571
59,2.0,po1000004167
60,2.0,po1000004422
61,2.0,po1000004505
62,2.0,po1000008403
63,2.0,po1000007596
64,2.0,po1000008429
65,2.0,po1000004572
66,2.0,po1000004101
67,2.0,po1000000884
68,2.0,po1000004217
69,2.0,po1000005204
70,2.0,po1000004318
71,2.0,po1000001315
72,2.0,po1000005206
73,2.0,po1000007467
74,2.0,po1000006150
75,2.0,po1000004486
76,2.0,po1000007628
77,2.0,po1000004352
78,2.0,po1000004582
79,2.0,po1000008217
80,2.0,po1000006362
81,2.0,po1000004455
82,2.0,po1000004454
83,2.0,po1000004470
84,2.0,po1000001761
85,2.0,po1000004866
86,2.0,po1000003491
87,2.0,po1000008180
88,2.0,po1000001683
89,2.0,po1000004930
90,2.0,po1000001684
91,2.0,po1000007591
92,2.0,po1000004191
93,2.0,po1000004316
94,2.0,po1000008216
95,2.0,po1000007623
96,2.0,po1000007537
97,2.0,po1000008412
98,2.0,po1000002360
99,2.0,po1000004853
100,2.0,po1000004358
101,2.0,po1000004934
102,2.0,po1000007462
103,2.0,po1000004307
104,2.0,po1000004313
