idx	Consumer Company	Country	District	Latitude	Longitude	Mill Company	Mill Name	Parent Company	Province	RSPO	UMLID
0	ferrero	honduras		15.824403	-85.896528		aceydesa	 aceites y derivados, s.a.	colon		
0		honduras	trujillo	15.824402800000001	-85.896528	aceites y derivados s.a.	aceites y derivados s.a. (aceydesa)	unknown	colón	rspo certified, ip	po1000002459
1	ferrero	indonesia		2.651388889	99.61777778	pt socfin indonesia	aek loba	 socfin	north sumatra		
1		indonesia	asahan	2.651389	99.617778	socfin indonesia	aek loba	socfin	sumatera utara	rspo certified, ip	po1000001252
2	ferrero	indonesia		-2.37025	112.60261200000001	pt sukajadi sawit mekar	agrowiratama sukajadi sawit mekar 2	 pt musim mas	central kalimantan		
2		indonesia	kotawaringin timur	-2.37025	112.6026111	sukajadi sawit mekar	sukajadi sawit mekar 2	musim mas	kalimantan tengah	rspo certified, ip	po1000000134
3	ferrero	indonesia		3.33072	99.04335	pt socfin indonesia	bangun bandar	 socfin	north sumatra		
3		indonesia	serdang bedagai	3.33166	99.04333299999999	socfin indonesia	bangun bandar mill	socfin	sumatera utara	rspo certified, ip	po1000000451
4	ferrero	indonesia		0.077043056	102.0308378	pt musim mas	batang kulim	 pt musim mas	riau		
4		indonesia	pelalawan	0.077043	102.030838	musim mas	batang kulim	musim mas	riau	rspo certified, ip	po1000000054
5	ferrero	indonesia		4.708255556	97.83973333	pt perkasa subur sakti	blang simpo	 sime darby plantation	aceh		
5		indonesia	aceh timur	4.70789	97.838433	perkasa subur sakti	blang simpo	sime darby	aceh	rspo certified, ip	po1000000706
6	ferrero	malaysia		1.931143	103.347365	sime darby plantation sdn bhd	bukit benut	 sime darby plantation	johor		
6		malaysia	keluang	1.931143	103.347365	sime darby plantation bhd	bukit benut (sou 22)	sime darby	johor	rspo certified, ip	po1000000194
7	ferrero	malaysia		5.335963	118.47363999999999	hap seng plantations (river estates) sdn. bhd.bukit mas		 hap seng plantations	sabah		
7		malaysia	kinabatangan	5.3373003	118.47363999999999	hap seng plantations (river estates) sdn bhd	bukit mas	hap seng plantations holdings berhad	sabah	rspo certified, ip	po1000000185
8	ferrero	malaysia		2.148725	102.97399399999999	sime darby plantation sdn bhd	chaah	 sime darby plantation	johor		
8		malaysia	batu pahat	2.148725	102.97399399999999	sime darby plantation bhd	chaah (sou 20)	sime darby	johor	rspo certified, ip	po1000000190
9	ferrero	malaysia		4.977523000000001	100.46148199999999	sime darby plantation sdn bhd	chersonese	 sime darby plantation	perak		
9		malaysia	kerian	4.978457	100.461902	sime darby plantation bhd	chersonese (sou 2)	sime darby	perak	rspo certified, ip	po1000000302
10	ferrero	malaysia		2.324247	102.482843	sime darby plantation sdn bhd	diamond jubilee	 sime darby plantation	melaka		
10		malaysia	jasin	2.324247	102.482843	sime darby plantation bhd	diamond jubilee (sou 18)	sime darby	melaka	rspo certified, ip	po1000000187
11	ferrero	malaysia		2.88426	101.436861	sime darby plantation sdn bhd	east oil	 sime darby plantation	selangor		
11		malaysia	kuala langat	2.8833330000000004	101.436136	sime darby plantation bhd	east (sou 8)	sime darby	selangor	rspo certified, ip	po1000000097
12	ferrero	indonesia		0.05304400000000001	103.207619	pt guntung idamannus	guntung idaman nusa 2	 pt musim mas	riau		
12		indonesia	indragiri hilir	0.0530444	103.20761	guntung idaman nusa	guntung idaman nusa 2	musim mas	riau	rspo certified, ip	po1000006505
13	ferrero	malaysia		2.243544	103.137941	sime darby plantation sdn bhd	gunung mas	 sime darby plantation	johor		
13		malaysia	segamat	2.243544	103.137941	sime darby plantation bhd	gunung mas (sou 21)	sime darby	johor	rspo certified, ip	po1000000183
14	ferrero	papua new guinea		-5.31111488	151.01097190000002	hargy palm oil ltd	hargy	 sipef	west new britain		
14		papua new guinea	talasea	-5.311111	151.01097	hargy oil palm limited	hargy mill	sipef	west new britain	rspo certified, ip	po1000000053
15	ferrero	malaysia		3.853889	100.968333	united plantations berhad	jendarata	 united plantations	perak		
15		malaysia	hilir perak	3.853889	100.968333	united plantations berhad	jendarata	united plantations	perak	rspo certified, ip	po1000000238
16	ferrero	malaysia		5.431112000000001	118.417224	jeroco plantations sdn bhd	jeroco 1	 hapseng	sabah		
16		malaysia	kinabatangan	5.431112000000001	118.417224	jeroco plantations sdn bhd	jeroco 1	hap seng plantations holdings berhad	sabah	rspo certified, ip	po1000000936
17	ferrero	malaysia		5.431112000000001	118.417224	jeroco plantations sdn bhd	jeroco 1	 hapseng	sabah		
17		malaysia	kinabatangan	5.431112000000001	118.417224	jeroco plantations sdn bhd	jeroco 2	hap seng plantations holdings berhad	sabah	rspo certified, mb	po1000003100
18	ferrero	papua new guinea		-5.5918611	150.21278	west new britain	kumbango	 nbpol	west new britain		
