umlid,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest
PO1000000021,417334.0708235295,783517.4265882354,625314.57,31419.734117647055,22379.01988235294,3349.2776470588233,47147.28670588235,35285.688705882356,12216.57917647059,32651.62941176471,24305.52635294118,17791.322470588235,37617.41576470588,25256.824941176474,25849.97788235294,16251.037058823527,22021.128705882355,6476.452588235294,17881.440705882353,14379.393529411764,13123.258941176471,11931.076235294116,0.5326417213727813,0.6673986035916764,0.33260139640832365
PO1000000054,478691.7292941176,784654.4191764706,680254.9799999999,35584.66694117647,19858.443882352938,2487.6395294117647,55736.946352941166,42295.29952941176,3744.818470588235,25884.58588235294,28630.465058823534,14866.05211764706,51144.5325882353,44427.420000000006,37620.53858823529,23648.146588235293,24358.773529411767,7832.235176470587,23306.56623529412,11924.166,11382.060352941175,13958.372470588234,0.6100669512529168,0.7036945606691739,0.2963054393308261
PO1000000058,327015.01305882353,781937.6668235296,624779.1508235293,6471.238235294119,7500.592235294118,5090.298,13801.616470588235,10310.216117647056,20488.02211764706,19514.284588235296,21731.219999999998,22556.489294117644,12818.382352941175,16901.59835294118,56390.901882352926,12274.972588235292,18880.500352941177,19578.05117647058,18618.490235294114,12613.229999999998,19124.50835294117,12350.400705882354,0.4182111016435091,0.5234089719987949,0.4765910280012051
PO1000000092,126110.98482352938,566898.3536470588,493318.60305882344,3886.2684705882343,2854.953882352941,1456.2522352941178,7543.358470588236,5791.557176470588,5084.55494117647,6054.4983529411775,7619.533411764704,13222.523647058824,4764.581647058824,11433.460235294117,5983.364117647058,5465.768117647058,7909.8543529411745,4169.265882352941,7493.804470588235,8319.913058823531,9018.922235294118,8038.550117647058,0.22245784277236394,0.2556380076518052,0.7443619923481948
PO1000000095,197839.87552941177,766602.1845882353,591374.4561176471,14563.887882352941,5100.478235294117,6878.758588235295,11849.910352941175,11052.102352941176,9277.02,7325.770235294117,4994.46105882353,17818.01717647059,14817.209294117649,12293.329411764704,9117.539999999999,6192.621882352942,11875.367294117646,9638.921647058822,14884.74,10402.946117647058,9953.02905882353,9803.76494117647,0.2580737173814309,0.33454247724567565,0.6654575227543243
PO1000000099,319509.11999999994,776266.1124705881,665888.8351764705,8747.521764705882,11049.940235294116,5659.619294117648,22274.33470588235,30881.813294117652,16195.635176470587,12366.107647058825,8355.418941176471,31081.77952941176,22855.90694117647,19938.649411764705,19715.51752941176,14812.568117647057,18574.05388235294,12408.561529411763,17715.659647058823,17998.717411764705,13807.800705882351,15069.514235294118,0.411597408243305,0.4798235127569383,0.5201764872430616
PO1000000106,420384.6296470587,780207.6998823527,621334.7650588233,3541.4131764705885,14796.428470588235,8739.634588235296,32752.410705882354,31192.810941176467,77734.68882352939,41192.19882352941,36176.91317647058,26010.588705882357,16873.587529411765,25570.877294117643,16779.178235294115,10897.957058823531,15671.731764705884,19434.392823529408,27380.493529411764,5892.185647058823,3975.9465882352943,5771.191764705882,0.5388111777292743,0.6765831453311001,0.3234168546688999
PO1000000107,248794.33376470587,778867.747764706,685109.0325882355,7623.293999999999,10711.430117647056,3630.4524705882354,10753.086705882351,9346.144235294118,7936.948235294118,12094.377529411764,20427.59964705882,22316.91882352941,9478.384588235294,16913.562705882352,11680.122352941176,10847.74305882353,15651.119294117645,12081.663176470585,22791.027882352944,19844.72823529412,13124.743411764706,11540.987294117645,0.319430782027793,0.3631456044664884,0.6368543955335115
PO1000000134,414580.7484705882,781861.2038823528,626005.4265882352,3312.9539999999997,15229.429058823525,9522.255882352942,34232.084117647064,29266.16647058826,74919.66458823529,39500.175176470584,33260.19529411764,25423.236352941174,16182.12176470588,25100.109882352943,17353.17705882353,11271.338823529411,16175.659764705882,20547.09564705882,26608.013294117645,6186.80294117647,4058.377411764706,6431.89094117647,0.5302485228989191,0.6622638252995291,0.3377361747004709
PO1000000143,215179.89070588234,786260.5027058827,713394.9705882354,2195.242235294117,5199.2548235294125,3800.319882352941,4739.696470588236,3459.1912941176465,12431.078823529411,4343.407764705883,9983.498823529413,12116.07388235294,9478.518352941177,22781.01458823529,13165.733647058825,8931.100588235293,11564.493882352941,8220.180352941177,45257.35235294118,9073.897411764705,12376.05211764706,16063.783411764705,0.27367506057515256,0.3016279895111316,0.6983720104888684
PO1000000144,382876.6750588236,778097.5895294116,633025.59,2712.37694117647,13666.46117647059,5307.171176470589,19993.338352941177,28497.515647058815,74728.01894117646,46478.419411764706,36387.45952941175,18059.283176470588,7923.583764705882,21557.524588235294,14821.75094117647,8790.791294117647,13437.120352941176,20779.498235294115,33709.209882352945,5261.636470588235,3453.586588235294,7311.928588235294,0.49206767918454153,0.6048360147001698,0.3951639852998302
PO1000000146,327828.2894117647,778421.5944705883,655121.3760000003,2213.181882352941,10631.51294117647,4957.465411764705,10966.277647058823,21577.382117647056,56543.261647058825,44779.63517647058,30109.20564705883,12379.049294117647,5636.784,17069.95905882353,10415.107764705883,4584.319764705882,10417.362705882353,17048.47235294118,49743.44470588234,5107.611176470588,3617.443411764705,10030.812705882354,0.42114490623133827,0.5004084760802624,0.4995915239197376
PO1000000148,430723.0090588234,785915.3258823529,702013.5317647057,30691.916117647062,15292.916823529411,4797.251647058823,34075.26635294118,36706.26635294117,4751.657294117647,22024.387764705883,32062.328823529413,11681.80305882353,46831.719176470586,34510.77352941176,35824.282235294115,22394.76388235294,20226.682941176467,8954.716588235295,26683.279764705883,15763.972235294119,10886.099294117646,16562.925176470584,0.5480526907593354,0.6135537130973554,0.3864462869026446
