mill_name,latitude,longitude,rspo_model,cert,prnt_comp,country,state,sub_state,alt_name,address,globalid,group_name,umlid,risk_score_current,risk_score_past,risk_score_future,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest,geometry
BUATAN I,0.43444,101.825,"RSPO Certified, MB",RSPO Certified,INTI INDOSAWIT SUBUR,Indonesia,Riau,Siak, ,2-High Confidence,{D40B067E-013F-44DF-86D1-21B48FD714D2},ROYAL GOLDEN EAGLE,po1000000021,5.0,3.0,5.0,1906.4992941176447,7161.378705882359,5110.225764705882,247.50352941176465,72.55023529411764,0.8099999999999999,27.959294117647055,56.750823529411754,117.15917647058819,28.86317647058824,5.22,10.442823529411765,74.81258823529411,68.50623529411764,11.866235294117647,6.826235294117646,80.90329411764705,25.444235294117643,251.81611764705875,101.63929411764701,358.871294117647,358.55470588235295,0.266219588771593,0.3730753555518056,0.6269246444481944,"POLYGON ((101.784015317415 0.4591678820137513, 101.7999739044744 0.5071994159145452, 101.8067283956607 0.5134844981973821, 101.885242806616 0.3816096382816803, 101.8672672607512 0.3704995506444866, 101.7890382370236 0.4351139762087806, 101.784015317415 0.4591678820137513))"
BATANG KULIM,0.07704,102.03084,"RSPO Certified, IP",RSPO Certified,MUSIM MAS,Indonesia,Riau,Pelalawan, ,1-Fully Verified,{73E4913E-8C20-49E8-8ECE-4B7E3E540151},MUSIM MAS,po1000000054,5.0,5.0,3.0,15316.790117647055,26077.69870588237,21678.912000000008,1488.427764705882,339.1602352941176,53.03964705882352,2621.9756470588227,413.567294117647,33.870705882352944,592.8578823529411,1125.2237647058823,249.70058823529408,962.701764705882,657.9402352941174,511.3221176470587,993.7680000000001,1140.4958823529416,177.4372941176471,1425.0529411764708,256.88364705882356,463.8395294117647,1809.5251764705883,0.587352062403882,0.7065294659458486,0.29347053405415136,"POLYGON ((101.8496839205897 -0.05808170885089983, 101.8731697101645 0.01492777508415658, 102.0237516611631 0.1299376776335583, 102.0690332472782 0.1203420904007493, 102.0798837705329 0.09904193021468347, 102.0733560969757 0.02071981164079213, 101.8496839205897 -0.05808170885089983))"
SUNGAI LILIN,-2.6081,104.12525,"RSPO Certified, IP",RSPO Certified,HINDOLI,Indonesia,Sumatera Selatan,Musi Banyuasin, ,2-High Confidence,{1B2B9C2A-7600-4859-86CC-0B9ABA885A9A},CARGILL,po1000000058,5.0,3.0,3.0,4651.115294117641,13248.475764705883,9117.221294117646,44.75929411764706,56.02376470588235,41.248588235294115,174.50117647058823,101.38447058823529,193.38105882352943,167.40776470588233,275.9015294117647,156.99917647058822,42.628235294117644,232.8271764705882,575.3227058823529,81.58094117647059,745.530705882353,534.6543529411765,336.26223529411766,259.35847058823526,504.6889411764705,126.65470588235296,0.3510679550404035,0.5101461447599721,0.4898538552400279,"POLYGON ((104.0469715139998 -2.540158849103201, 104.2005342258558 -2.593945836078432, 104.1408468098267 -2.66824940979929, 104.0306724184794 -2.591236685151521, 104.0469715139998 -2.540158849103201))"
AGROWIRATAMA,0.19896,99.62659,"RSPO Certified, IP",RSPO Certified,AGRO WIRATAMA,Indonesia,Sumatera Barat,Pasaman Barat, ,1-Fully Verified,{82D1B64C-EFDB-4293-AF50-69AC2E3EC472},MUSIM MAS,po1000000092,5.0,4.0,3.0,9652.010117647058,26006.595882352933,18086.659764705873,576.8227058823528,768.3974117647059,113.07564705882353,542.5203529411765,252.37870588235296,346.0905882352941,316.4195294117647,465.7711764705882,649.9387058823529,208.70964705882352,846.9349411764706,309.1658823529412,551.0629411764705,719.1656470588237,403.04858823529406,362.14482352941167,796.5762352941175,770.9227058823528,652.8638823529411,0.3711370054470119,0.5336535459400797,0.46634645405992026,"POLYGON ((99.67343326866397 0.2032881890406938, 99.68236883279044 0.171537613086543, 99.49857313450619 -0.04624492836301479, 99.56592706047039 0.2834116767568571, 99.63552971541004 0.2803838716819714, 99.67343326866397 0.2032881890406938))"
BUKIT MARADJA,3.01229,99.23557,"RSPO Certified, IP",RSPO Certified,EASTERN SUMATERA INDONESIA,Indonesia,Sumatera Utara,Simalungun, ,1-Fully Verified,{3DF84257-7BD9-4672-8B53-9202544A40A6},SIPEF,po1000000095,3.0,4.0,3.0,2360.988705882353,5650.993764705885,3973.1805882352924,525.2075294117648,13.588235294117649,70.7915294117647,280.6051764705882,61.301294117647046,64.76964705882354,93.87917647058822,40.881882352941176,150.3952941176471,41.714470588235294,88.07929411764705,37.09694117647059,112.75058823529412,41.35376470588235,148.9941176470588,342.01341176470584,67.11635294117646,58.68,121.77,0.417800621304567,0.5942314106923082,0.4057685893076918,"POLYGON ((99.25541148278424 3.060236256685971, 99.28184639199077 3.035219809925479, 99.29835232457003 2.95724357220869, 99.23233871964428 2.996655118149079, 99.20742819788325 3.034350277243648, 99.25541148278424 3.060236256685971))"
PERLABIAN,2.06138,100.08122,"RSPO Certified, IP",RSPO Certified,TOLAN TIGA INDONESIA,Indonesia,Sumatera Utara,Labuhanbatu Selatan, ,1-Fully Verified,{1D1EDEAD-9A47-4B0D-AEA6-1808998A16C5},SIPEF,po1000000099,4.0,3.0,3.0,3861.787411764709,7908.5145882353,7457.1614117647105,99.72035294117647,152.526,56.43282352941177,214.5261176470588,186.1175294117647,212.58352941176474,21.986470588235292,0.63,29.33964705882353,40.018941176470584,332.53411764705885,364.5261176470588,165.02929411764705,668.1649411764705,568.3937647058823,147.47329411764704,179.028,217.10964705882353,205.64682352941176,0.4883075536725317,0.5178629237758219,0.4821370762241781,"POLYGON ((100.08662540422 2.010444396346783, 100.0473615357602 2.077516041695136, 100.051044054364 2.101629981532177, 100.0899403472766 2.143808986453729, 100.1119258586871 2.143666004387625, 100.1151153752565 2.018428116641825, 100.08662540422 2.010444396346783))"
SUKAJADI SAWIT MEKAR 1,-2.38111,112.53972,"RSPO Certified, IP",RSPO Certified,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur, ,1-Fully Verified,{C978E1F8-26D8-4DA1-9D85-D852EE638836},MUSIM MAS,po1000000106,2.0,5.0,1.0,9457.3305882353,16408.74705882352,11673.47788235294,91.47635294117646,2117.272588235294,365.6110588235294,1437.5057647058823,335.784,2978.172352941176,305.89764705882357,315.92188235294117,56.307529411764705,91.17,221.00223529411764,220.95988235294115,81.06705882352944,115.25576470588234,259.3482352941176,188.01988235294115,77.89129411764706,39.516352941176486,159.15070588235292,0.5763590939839482,0.8101553524620251,0.18984464753797492,"POLYGON ((112.5569147686207 -2.292184294322583, 112.5825151153955 -2.442179562024804, 112.5762653541479 -2.449207721568822, 112.444483646451 -2.379045864105049, 112.437544702573 -2.348500040216833, 112.4431712382172 -2.329145301999085, 112.5569147686207 -2.292184294322583))"
BUKIT AJONG,0.26894,110.4828,"RSPO Certified, MB",RSPO Certified,SIME INDO AGRO,Indonesia,Kalimantan Barat,Sanggau, ,1-Fully Verified,{9DD995F6-8152-4E3F-998F-E81ED0E41CF4},SIME DARBY,po1000000107,3.0,3.0,3.0,30232.51552941175,79797.34588235288,66752.00999999998,849.9921176470589,1605.8174117647056,512.7681176470587,1391.5669411764707,1322.716588235294,789.7941176470587,2406.804352941176,2767.4269411764712,1937.7487058823526,872.6135294117646,2354.607529411765,1353.7997647058824,1172.085882352941,1600.1057647058824,1126.5204705882352,1842.0712941176469,3272.9710588235293,1519.7495294117643,1533.3554117647059,0.37886617900781144,0.4529079428381521,0.5470920571618478,"POLYGON ((110.7150176241575 0.4631945149349508, 110.7504187840515 0.4709019330895394, 110.7693256070745 0.460835053669599, 110.6373960973147 0.2214014190538593, 110.5380409917754 0.1133117115059024, 110.4068913662631 0.1261092184869706, 110.3916813635927 0.2761624149934417, 110.7150176241575 0.4631945149349508))"
SUKAJADI SAWIT MEKAR 2,-2.37025,112.60261,"RSPO Certified, IP",RSPO Certified,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur, ,1-Fully Verified,{5B01724A-6227-476D-BDBF-EC472D997D58},MUSIM MAS,po1000000134,1.0,5.0,1.0,11342.471294117644,17382.669176470572,16260.034941176451,14.76,94.728,33.38117647058824,1208.4896470588235,1414.6482352941175,3255.1676470588227,1899.4305882352949,1011.6007058823529,38.80729411764706,14.024117647058823,73.3835294117647,62.283529411764704,44.71376470588235,56.811882352941176,705.6564705882352,1273.5120000000002,64.21270588235296,12.842470588235297,64.0175294117647,0.6525160882352277,0.6975674612724412,0.3024325387275588,"POLYGON ((112.5569147686207 -2.292184294322583, 112.5569260320364 -2.292175233215454, 112.7091680076399 -2.32506392156978, 112.6776301165274 -2.402055368424487, 112.5825151153955 -2.442179562024804, 112.5569147686207 -2.292184294322583))"
PERDANA,0.25854,116.14992,"RSPO Certified, MB",RSPO Certified,REA KALTIM,Indonesia,Kalimantan Timur,Kutai Kartanegara, ,1-Fully Verified,{0BEEA60F-59AA-4595-B90E-1711DBE16B79},REA HOLDINGS,po1000000143,5.0,3.0,4.0,91560.16623529413,236459.80800000005,220294.36835294115,906.3289411764707,1990.097294117647,1913.5461176470587,1854.8682352941175,963.418588235294,2498.9841176470586,1285.426588235294,5491.0019999999995,3139.5550588235296,2597.816823529412,5926.0528235294105,3421.551882352941,5082.211411764705,6331.303411764706,3999.524470588235,25883.949882352947,3741.080470588235,7134.7764705882355,7398.671647058824,0.38721238509714984,0.4156264498264543,0.5843735501735456,"POLYGON ((115.7168947492142 0.340188464789503, 116.2036319354066 0.34084832056467, 116.2173401016941 0.1024728741210514, 115.9883406416527 -0.1612868925227625, 115.9780348118635 -0.1592231280238108, 115.8323175854778 -0.06120199403554757, 115.7349524476299 0.08549724917226226, 115.7007623579402 0.2585399999965137, 115.7168947492142 0.340188464789503))"
