objectid,mill_name,latitude,longitude,rspo_model,cert,id,prnt_comp,country,state,sub_state,alt_name,address,globalid,parent_co,umlid,risk_score_current,risk_score_past,risk_score_future,treeloss_sum,land_area,forest_area,treeloss_2001,treeloss_2002,treeloss_2003,treeloss_2004,treeloss_2005,treeloss_2006,treeloss_2007,treeloss_2008,treeloss_2009,treeloss_2010,treeloss_2011,treeloss_2012,treeloss_2013,treeloss_2014,treeloss_2015,treeloss_2016,treeloss_2017,treeloss_2018,treeloss_2019,treeloss_sum_proportion_of_land,treeloss_sum_proportion_of_forest,remaining_proportion_of_forest,geometry
3085,BUATAN I,0.43444,101.825,"RSPO Certified, MB",RSPO Certified,PO1000000021,INTI INDOSAWIT SUBUR,Indonesia,Riau,Siak, ,2-High Confidence,{D40B067E-013F-44DF-86D1-21B48FD714D2},ROYAL GOLDEN EAGLE,po1000000021,4,5,1,416726.2165,782541.0572,624453.8728,31377.43518,22365.41153,3345.320824,47063.63012,35274.20153,12205.668,32579.562,24256.69129,17766.18353,37542.10553,25206.44188,25810.94965,16233.43835,21989.13529,6468.916235,17851.05035,14366.68553,13123.224,11900.16565,0.532529524,0.667345075,0.332654925,"POLYGON ((102.2741576420598 0.434439999994158, 102.2703150361669 0.375419544268824, 102.2588529665406 0.317408551151118, 102.23996755237 0.26139969190001, 102.2139819283277 0.208351384061182, 102.1813407156454 0.159171383584075, 102.1426024145222 0.114701246064764, 102.0984298480305 0.075701923607311, 102.0495788210299 0.042840743854026, 101.9968851881364 0.01667999355668, 101.9412505520184 -0.002332698523569, 101.8836268367246 -0.013872016570923, 101.825 -0.017740519535968, 101.7663731632754 -0.013872016570923, 101.7087494479816 -0.002332698523569, 101.6531148118635 0.01667999355668, 101.6004211789701 0.042840743854026, 101.5515701519695 0.075701923607311, 101.5073975854778 0.114701246064764, 101.4686592843545 0.159171383584075, 101.4360180716723 0.208351384061169, 101.41003244763 0.26139969190001, 101.3911470334594 0.317408551151118, 101.3796849638331 0.375419544268824, 101.3758423579402 0.434439999994158, 101.3796849638331 0.493459988554544, 101.3911470334594 0.551469612016375, 101.41003244763 0.607476292467201, 101.4360180716723 0.66052176085216, 101.4686592843545 0.709698454735094, 101.5073975854778 0.754165043865597, 101.5515701519695 0.793160817958886, 101.6004211789701 0.826018691185362, 101.6531148118635 0.852176602087565, 101.7087494479816 0.871187115497488, 101.7663731632754 0.882725063979321, 101.825 0.886593099811782, 101.8836268367246 0.882725063979321, 101.9412505520184 0.871187115497488, 101.9968851881364 0.852176602087565, 102.0495788210299 0.826018691185362, 102.0984298480305 0.793160817958886, 102.1426024145222 0.754165043865597, 102.1813407156454 0.709698454735094, 102.2139819283277 0.66052176085216, 102.23996755237 0.607476292467201, 102.2588529665406 0.551469612016375, 102.2703150361669 0.493459988554557, 102.2741576420598 0.434439999994158))"
3088,BATANG KULIM,0.07704,102.03084,"RSPO Certified, IP",RSPO Certified,PO1000000054,MUSIM MAS,Indonesia,Riau,Pelalawan, ,1-Fully Verified,{73E4913E-8C20-49E8-8ECE-4B7E3E540151},MUSIM MAS,po1000000054,4,5,1,478004.1861,783686.2821,679396.4944,35564.73035,19757.01918,2485.869176,55629.36529,42265.52082,3739.791882,25841.23624,28605.38047,14834.99788,51121.67471,44350.89776,37543.54624,23617.40047,24340.00906,7803.099529,23290.91365,11899.47035,11389.93376,13923.32929,0.609943286,0.703571758,0.296428242,"POLYGON ((102.4799976420597 0.077039999998952, 102.4761550361669 0.018018071088068, 102.4646929665406 -0.039993995418296, 102.44580755237 -0.096003538751591, 102.4198219283277 -0.149052175364827, 102.3871807156454 -0.198232203295299, 102.3484424145222 -0.242702135898812, 102.3042698480305 -0.281701099076674, 102.2554188210299 -0.31456184583315, 102.2027251881364 -0.340722166213558, 102.1470905520184 -0.35973449853002, 102.0894668367246 -0.371273578779375, 102.03084 -0.375141998735771, 101.9722131632754 -0.371273578779375, 101.9145894479816 -0.35973449853002, 101.8589548118635 -0.340722166213558, 101.8062611789701 -0.31456184583315, 101.7574101519695 -0.281701099076674, 101.7132375854778 -0.242702135898812, 101.6744992843545 -0.198232203295299, 101.6418580716723 -0.149052175364827, 101.6158724476299 -0.096003538751591, 101.5969870334594 -0.039993995418296, 101.5855249638331 0.018018071088068, 101.5816823579402 0.077039999998952, 101.5855249638331 0.136061846027508, 101.5969870334594 0.19407366967697, 101.6158724476299 0.250082826624918, 101.6418580716723 0.303130959693437, 101.6744992843545 0.352310401237192, 101.7132375854778 0.396779704574462, 101.7574101519695 0.435778038490458, 101.8062611789701 0.468638198872138, 101.8589548118635 0.494798015724176, 101.9145894479816 0.513809961671602, 101.9722131632754 0.525348799040061, 102.03084 0.529217136154445, 102.0894668367246 0.525348799040061, 102.1470905520184 0.513809961671602, 102.2027251881364 0.494798015724176, 102.2554188210299 0.468638198872151, 102.3042698480305 0.435778038490458, 102.3484424145222 0.396779704574462, 102.3871807156454 0.352310401237205, 102.4198219283277 0.303130959693437, 102.44580755237 0.250082826624931, 102.4646929665406 0.19407366967697, 102.4761550361669 0.136061846027508, 102.4799976420597 0.077039999998952))"
3089,SUNGAI LILIN,-2.6081,104.12525,"RSPO Certified, IP",RSPO Certified,PO1000000058,HINDOLI,Indonesia,Sumatera Selatan,Musi Banyuasin, ,2-High Confidence,{1B2B9C2A-7600-4859-86CC-0B9ABA885A9A},CARGILL,po1000000058,5,4,2,326609.9951,780969.8086,624088.4216,6461.366471,7497.085765,5090.206235,13791.45494,10301.17094,20447.27047,19493.74129,21690.45035,22538.50835,12795.34271,16874.98518,56301.68435,12260.85882,18846.86329,19558.19929,18612.27388,12602.86306,19108.57412,12337.09553,0.418210783,0.523339296,0.476660704,"POLYGON ((104.5744076420598 -2.608099999965265, 104.5705650361669 -2.66705858584832, 104.5591029665406 -2.725005583643784, 104.54021755237 -2.780949661855763, 104.5142319283277 -2.833933900500454, 104.4815907156454 -2.88305214682301, 104.4428524145222 -2.927464492100719, 104.3986798480305 -2.966411606227781, 104.3498288210299 -2.999227688020592, 104.2971351881364 -3.02535181222142, 104.2415005520184 -3.044337483344596, 104.1838768367246 -3.055860236432376, 104.12525 -3.059723158140359, 104.0666231632754 -3.055860236432376, 104.0089994479816 -3.044337483344596, 103.9533648118636 -3.02535181222142, 103.9006711789701 -2.999227688020592, 103.8518201519695 -2.966411606227781, 103.8076475854778 -2.927464492100719, 103.7689092843545 -2.88305214682301, 103.7362680716723 -2.833933900500454, 103.71028244763 -2.780949661855763, 103.6913970334594 -2.725005583643784, 103.679934963833 -2.667058585848333, 103.6760923579402 -2.608099999965265, 103.679934963833 -2.549138613437202, 103.6913970334594 -2.491183404580747, 103.71028244763 -2.43522626450226, 103.7362680716723 -2.382225003385101, 103.7689092843545 -2.333086934092508, 103.8076475854778 -2.288653316328683, 103.8518201519695 -2.249684929824777, 103.9006711789701 -2.216849025465109, 103.9533648118636 -2.190707879342342, 104.0089994479816 -2.171709146903059, 104.0666231632754 -2.1601781831572, 104.12525 -2.156312460951674, 104.1838768367246 -2.1601781831572, 104.2415005520184 -2.171709146903059, 104.2971351881364 -2.190707879342342, 104.3498288210299 -2.216849025465109, 104.3986798480305 -2.249684929824777, 104.4428524145222 -2.288653316328671, 104.4815907156454 -2.333086934092496, 104.5142319283277 -2.382225003385101, 104.54021755237 -2.43522626450226, 104.5591029665406 -2.491183404580734, 104.5705650361669 -2.549138613437202, 104.5744076420598 -2.608099999965265))"
3095,AGROWIRATAMA,0.19896,99.62659,"RSPO Certified, IP",RSPO Certified,PO1000000092,AGRO WIRATAMA,Indonesia,Sumatera Barat,Pasaman Barat, ,1-Fully Verified,{82D1B64C-EFDB-4293-AF50-69AC2E3EC472},MUSIM MAS,po1000000092,3,1,5,125984.8899,566234.6922,492752.3118,3880.585059,2852.311412,1454.456824,7539.009529,5784.909529,5069.405294,6049.993765,7619.46,13217.20165,4739.706353,11429.50165,5980.993059,5465.545059,7905.842471,4167.935647,7485.620471,8309.936824,8993.951647,8038.523647,0.222495887,0.255675898,0.744324102,"POLYGON ((100.0757476420598 0.198959999997313, 100.0719050361669 0.139938312115974, 100.0604429665406 0.081926354680881, 100.04155755237 0.02591679651026, 100.0155719283277 -0.027131963026465, 99.98293071564544 -0.076312199526861, 99.94419241452221 -0.120782399095613, 99.90001984803048 -0.159781657652161, 99.85116882102987 -0.192642697733066, 99.79847518813644 -0.218803280683555, 99.74284055201841 -0.237815819987794, 99.68521683672458 -0.249355032497512, 99.62658999999999 -0.253223497915154, 99.56796316327541 -0.249355032497512, 99.51033944798159 -0.237815819987794, 99.45470481186355 -0.218803280683555, 99.40201117897011 -0.192642697733066, 99.3531601519695 -0.159781657652161, 99.30898758547778 -0.120782399095613, 99.27024928435455 -0.076312199526861, 99.23760807167233 -0.027131963026465, 99.21162244762995 0.02591679651026, 99.19273703345938 0.08192635468086799, 99.18127496383306 0.139938312115974, 99.17743235794023 0.198959999997313, 99.18127496383306 0.257981473924914, 99.19273703345938 0.315992804080492, 99.21162244762995 0.372001364396965, 99.23760807167233 0.425048823511226, 99.27024928435455 0.474227545646679, 99.30898758547778 0.518696120112607, 99.3531601519695 0.557693753577628, 99.40201117897011 0.590553279324467, 99.45470481186355 0.61671256189464, 99.51033944798159 0.635724103386868, 99.56796316327541 0.647262688647909, 99.62658999999999 0.651130940123085, 99.68521683672458 0.647262688647909, 99.74284055201841 0.635724103386868, 99.79847518813644 0.61671256189464, 99.85116882102987 0.590553279324467, 99.90001984803048 0.557693753577628, 99.94419241452221 0.518696120112607, 99.98293071564544 0.474227545646692, 100.0155719283277 0.425048823511226, 100.04155755237 0.372001364396965, 100.0604429665406 0.315992804080492, 100.0719050361669 0.257981473924914, 100.0757476420598 0.198959999997313))"
3098,BUKIT MARADJA,3.01229,99.23557,"RSPO Certified, IP",RSPO Certified,PO1000000095,EASTERN SUMATERA INDONESIA,Indonesia,Sumatera Utara,Simalungun, ,1-Fully Verified,{3DF84257-7BD9-4672-8B53-9202544A40A6},SIPEF,po1000000095,3,2,4,197690.4427,765763.6133,590710.4587,14565.96882,5098.472471,6871.867412,11843.05376,11049.09247,9267.293294,7322.788941,4993.359882,17809.83459,14807.95835,12265.59847,9106.357412,6190.816235,11868.77435,9637.339059,14873.26341,10380.07941,9937.063412,9801.460941,0.258161186,0.334665554,0.665334446,"POLYGON ((99.68472764205976 3.01229, 99.68088503616694 2.953349082930004, 99.66942296654062 2.895413571705941, 99.65053755237003 2.83947505274558, 99.62455192832768 2.786491068995388, 99.59191071564545 2.737368704760316, 99.55317241452221 2.692949029167396, 99.50899984803048 2.653992667284542, 99.46014882102989 2.621166748170676, 99.40745518813644 2.595033455288866, 99.35182055201841 2.576040376897773, 99.29419683672458 2.564512822824086, 99.23557 2.560648239988739, 99.1769431632754 2.564512822824086, 99.1193194479816 2.576040376897773, 99.06368481186355 2.595033455288866, 99.01099117897012 2.621166748170676, 98.96214015196951 2.653992667284542, 98.91796758547778 2.692949029167396, 98.87922928435455 2.737368704760316, 98.84658807167233 2.786491068995388, 98.82060244762997 2.83947505274558, 98.80171703345938 2.895413571705941, 98.79025496383306 2.953349082930004, 98.78641235794024 3.01229, 98.79025496383306 3.071227683946865, 98.80171703345938 3.129153716113991, 98.82060244762997 3.185077156186053, 98.84658807167233 3.238041488842379, 98.87922928435455 3.287140969030969, 98.91796758547778 3.331536087181257, 98.96214015196951 3.370467891791461, 99.01099117897012 3.403270927323206, 99.06368481186355 3.429384569745352, 99.1193194479816 3.448362569882221, 99.1769431632754 3.459880645401881, 99.23557 3.463741995284753, 99.29419683672458 3.459880645401881, 99.35182055201841 3.448362569882221, 99.40745518813644 3.429384569745352, 99.46014882102989 3.403270927323206, 99.50899984803048 3.370467891791461, 99.55317241452221 3.33153608718127, 99.59191071564545 3.287140969030982, 99.62455192832768 3.238041488842379, 99.65053755237003 3.185077156186053, 99.66942296654062 3.129153716114004, 99.68088503616694 3.071227683946877, 99.68472764205976 3.01229))"
3101,PERLABIAN,2.06138,100.08122,"RSPO Certified, IP",RSPO Certified,PO1000000099,TOLAN TIGA INDONESIA,Indonesia,Sumatera Utara,Labuhanbatu Selatan, ,1-Fully Verified,{1D1EDEAD-9A47-4B0D-AEA6-1808998A16C5},SIPEF,po1000000099,5,3,3,319172.6516,775380.8601,665130.6646,8740.607294,11043.39494,5653.747059,22253.21965,30835.326,16164.84988,12347.05659,8342.187882,31043.79,22843.55824,19928.18788,19693.38565,14798.18012,18570.76624,12409.31224,17711.27294,17977.81306,13763.22247,15052.77353,0.41163339,0.479864587,0.520135413,"POLYGON ((100.5303776420597 2.061379999972441, 100.5265350361669 2.002395657020241, 100.5150729665406 1.944418455589021, 100.49618755237 1.888440619349667, 100.4702019283277 1.83542024293571, 100.4375607156454 1.786264875422411, 100.3988224145222 1.741815966637303, 100.3546498480305 1.702834444309921, 100.3057988210299 1.669987670416129, 100.2531051881364 1.643838001086959, 100.1974705520184 1.624833146613917, 100.1398468367246 1.613298496929687, 100.08122 1.609431544050154, 100.0225931632754 1.613298496929687, 99.96496944798159 1.624833146613917, 99.90933481186354 1.643838001086959, 99.85664117897011 1.669987670416129, 99.8077901519695 1.702834444309921, 99.76361758547779 1.741815966637303, 99.72487928435454 1.786264875422398, 99.69223807167232 1.83542024293571, 99.66625244762996 1.888440619349667, 99.64736703345937 1.944418455589021, 99.63590496383306 2.002395657020241, 99.63206235794023 2.061379999972441, 99.63590496383306 2.120362128167615, 99.64736703345937 2.178332836271498, 99.66625244762996 2.234300343154568, 99.69223807167232 2.287307258155355, 99.72487928435454 2.336446949615171, 99.76361758547779 2.380879036035475, 99.8077901519695 2.419843736114743, 99.85664117897011 2.45267483427387, 99.90933481186354 2.478811042625391, 99.96496944798159 2.497805568177641, 100.0225931632754 2.509333724853366, 100.08122 2.513198463092587, 100.1398468367246 2.509333724853366, 100.1974705520184 2.497805568177641, 100.2531051881364 2.478811042625391, 100.3057988210299 2.45267483427387, 100.3546498480305 2.419843736114743, 100.3988224145222 2.380879036035475, 100.4375607156454 2.336446949615183, 100.4702019283277 2.287307258155367, 100.49618755237 2.23430034315458, 100.5150729665406 2.178332836271511, 100.5265350361669 2.120362128167615, 100.5303776420597 2.061379999972441))"
3107,SUKAJADI SAWIT MEKAR 1,-2.38111,112.53972,"RSPO Certified, IP",RSPO Certified,PO1000000106,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur, ,1-Fully Verified,{C978E1F8-26D8-4DA1-9D85-D852EE638836},MUSIM MAS,po1000000106,1,5,1,419945.7064,779232.3416,620540.8249,3541.033412,14784.99847,8732.579294,32698.54659,31160.35341,77672.928,41171.36894,36137.30329,25969.61576,16839.06847,25569.58235,16782.52694,10887.90071,15631.80176,19425.19518,27329.86376,5883.407647,3967.266,5760.366353,0.538922326,0.676741464,0.323258536,"POLYGON ((112.9888776420597 -2.381109999968237, 112.9850350361669 -2.440079020743242, 112.9735729665406 -2.498036511762741, 112.95468755237 -2.553990943749828, 112.9287019283277 -2.606985190593928, 112.8960607156454 -2.656112890571998, 112.8573224145222 -2.700533929261, 112.8131498480305 -2.739488780787479, 112.7642988210299 -2.772311464460493, 112.7116051881364 -2.798440898203597, 112.6559705520184 -2.817430458029739, 112.5983468367246 -2.828955583556918, 112.53972 -2.832819302690352, 112.4810931632754 -2.828955583556918, 112.4234694479816 -2.817430458029739, 112.3678348118635 -2.798440898203597, 112.3151411789701 -2.772311464460493, 112.2662901519695 -2.739488780787479, 112.2221175854778 -2.700533929261, 112.1833792843545 -2.656112890571998, 112.1507380716723 -2.60698519059394, 112.12475244763 -2.553990943749828, 112.1058670334594 -2.498036511762741, 112.0944049638331 -2.440079020743242, 112.0905623579402 -2.381109999968237, 112.0944049638331 -2.32213842168415, 112.1058670334594 -2.264173432440872, 112.12475244763 -2.208207072543604, 112.1507380716723 -2.155197281020551, 112.1833792843545 -2.106051478989122, 112.2221175854778 -2.061611014534138, 112.2662901519695 -2.022636737376355, 112.3151411789701 -1.989795952017934, 112.3678348118635 -1.963650974098506, 112.4234694479816 -1.944649486864825, 112.4810931632754 -1.933116863481819, 112.53972 -1.929250586973993, 112.5983468367246 -1.933116863481819, 112.6559705520184 -1.944649486864825, 112.7116051881364 -1.963650974098506, 112.7642988210299 -1.989795952017934, 112.8131498480305 -2.022636737376355, 112.8573224145222 -2.061611014534138, 112.8960607156454 -2.106051478989122, 112.9287019283277 -2.155197281020551, 112.95468755237 -2.208207072543604, 112.9735729665406 -2.264173432440872, 112.9850350361669 -2.32213842168415, 112.9888776420597 -2.381109999968237))"
3108,BUKIT AJONG,0.26894,110.4828,"RSPO Certified, MB",RSPO Certified,PO1000000107,SIME INDO AGRO,Indonesia,Kalimantan Barat,Sanggau, ,1-Fully Verified,{9DD995F6-8152-4E3F-998F-E81ED0E41CF4},SIME DARBY,po1000000107,4,3,3,248496.5298,777886.2526,684191.0527,7620.735176,10687.65247,3620.714118,10738.13329,9338.682353,7926.493765,12076.69906,20407.89141,22302.05612,9462.666,16893.264,11669.30329,10838.24859,15628.10753,12066.90953,22754.34247,19827.13129,13111.82718,11525.67212,0.319450985,0.363197573,0.636802427,"POLYGON ((110.9319576420598 0.268939999996377, 110.9281150361669 0.209918572779801, 110.9166529665406 0.151906798216629, 110.89776755237 0.095897347625496, 110.8717819283277 0.042848627491251, 110.8391407156454 -0.006331626772798, 110.8004024145222 -0.050801887412016, 110.7562298480305 -0.0898012346759, 110.7073788210299 -0.122662375008653, 110.6546851881364 -0.148823054447069, 110.5990505520184 -0.167835673151985, 110.5414268367246 -0.179374937660007, 110.4828 -0.183243421153632, 110.4241731632754 -0.179374937660007, 110.3665494479816 -0.167835673151985, 110.3109148118636 -0.148823054447069, 110.2582211789701 -0.122662375008653, 110.2093701519695 -0.0898012346759, 110.1651975854778 -0.050801887412016, 110.1264592843546 -0.006331626772798, 110.0938180716723 0.042848627491251, 110.06783244763 0.095897347625496, 110.0489470334594 0.151906798216629, 110.0374849638331 0.209918572779801, 110.0336423579402 0.268939999996377, 110.0374849638331 0.327961138007482, 110.0489470334594 0.385972064664598, 110.06783244763 0.441980166436661, 110.0938180716723 0.495027128764323, 110.1264592843546 0.544205336044193, 110.1651975854778 0.588673399987367, 110.2093701519695 0.6276705505831079, 110.2582211789701 0.660529643960738, 110.3109148118636 0.6866885656495419, 110.3665494479816 0.7056998355923459, 110.4241731632754 0.717238252236014, 110.4828 0.721106446539422, 110.5414268367246 0.717238252236014, 110.5990505520184 0.7056998355923459, 110.6546851881364 0.6866885656495419, 110.7073788210299 0.660529643960738, 110.7562298480305 0.6276705505831079, 110.8004024145222 0.58867339998738, 110.8391407156454 0.544205336044205, 110.8717819283277 0.495027128764336, 110.89776755237 0.441980166436661, 110.9166529665406 0.385972064664611, 110.9281150361669 0.327961138007482, 110.9319576420598 0.268939999996377))"
3119,SUKAJADI SAWIT MEKAR 2,-2.37025,112.60261,"RSPO Certified, IP",RSPO Certified,PO1000000134,SUKAJADI SAWIT MEKAR,Indonesia,Kalimantan Tengah,Kotawaringin Timur, ,1-Fully Verified,{5B01724A-6227-476D-BDBF-EC472D997D58},MUSIM MAS,po1000000134,1,5,1,414109.1439,780929.0824,625200.7613,3311.574,15219.94624,9497.691882,34217.33894,29244.42565,74829.23294,39445.73753,33220.02459,25385.26482,16177.13682,25083.12282,17336.40176,11244.70624,16136.82212,20537.34741,26570.34882,6179.119765,4049.492824,6423.408706,0.530277529,0.662361868,0.337638132,"POLYGON ((113.0517676420597 -2.370249999968374, 113.0479250361669 -2.429219496480265, 113.0364629665406 -2.487177466433947, 113.01757755237 -2.543132371484996, 112.9915919283277 -2.596127076042095, 112.9589507156454 -2.645255208745011, 112.9202124145222 -2.689676645665235, 112.8760398480305 -2.728631851861245, 112.8271888210299 -2.761454838320201, 112.7744951881364 -2.787584515685626, 112.7188605520184 -2.80657425399979, 112.6612368367246 -2.818099488443958, 112.60261 -2.821963244190677, 112.5439831632754 -2.818099488443958, 112.4863594479816 -2.80657425399979, 112.4307248118635 -2.787584515685626, 112.3780311789701 -2.761454838320201, 112.3291801519695 -2.728631851861245, 112.2850075854778 -2.689676645665235, 112.2462692843546 -2.645255208745011, 112.2136280716723 -2.596127076042095, 112.18764244763 -2.543132371484996, 112.1687570334594 -2.487177466433947, 112.1572949638331 -2.429219496480265, 112.1534523579402 -2.370249999968374, 112.1572949638331 -2.311277957584211, 112.1687570334594 -2.253312523524025, 112.18764244763 -2.197345744835362, 112.2136280716723 -2.144335566328356, 112.2462692843546 -2.095189413937277, 112.2850075854778 -2.050748639639233, 112.3291801519695 -2.011774096199509, 112.3780311789701 -1.978933090418675, 112.4307248118635 -1.952787939603683, 112.4863594479816 -1.933786328152282, 112.5439831632754 -1.922253629967896, 112.60261 -1.918387328482959, 112.6612368367246 -1.922253629967896, 112.7188605520184 -1.933786328152282, 112.7744951881364 -1.952787939603683, 112.8271888210299 -1.978933090418662, 112.8760398480305 -2.011774096199509, 112.9202124145222 -2.050748639639233, 112.9589507156454 -2.095189413937277, 112.9915919283277 -2.144335566328356, 113.01757755237 -2.197345744835362, 113.0364629665406 -2.253312523524012, 113.0479250361669 -2.311277957584198, 113.0517676420597 -2.370249999968374))"
3122,PERDANA,0.25854,116.14992,"RSPO Certified, MB",RSPO Certified,PO1000000143,REA KALTIM,Indonesia,Kalimantan Timur,Kutai Kartanegara, ,1-Fully Verified,{0BEEA60F-59AA-4595-B90E-1711DBE16B79},REA HOLDINGS,po1000000143,5,2,4,214991.2733,785270.6121,712479.7867,2193.773647,5193.661059,3793.855765,4736.903647,3459.273529,12425.85459,4341.378,9981.900706,12113.23941,9462.670941,22770.13376,13157.36894,8931.306353,11559.14082,8214.692471,45182.70247,9069.220941,12375.02929,16029.16694,0.273779854,0.301750698,0.698249302,"POLYGON ((116.5990776420597 0.258539999996514, 116.5952350361669 0.199518528396735, 116.5837729665406 0.141506721107995, 116.56488755237 0.085497249172275, 116.5389019283276 0.032448518108639, 116.5062607156454 -0.016731738196486, 116.4675224145222 -0.061201994035548, 116.4233498480305 -0.100201331846149, 116.3744988210298 -0.133062460422885, 116.3218051881364 -0.159223128023811, 116.2661705520184 -0.178235736746989, 116.2085468367246 -0.189774994630907, 116.14992 -0.193643475808173, 116.0912931632754 -0.189774994630907, 116.0336694479816 -0.178235736747001, 115.9780348118635 -0.159223128023811, 115.9253411789701 -0.133062460422885, 115.8764901519695 -0.100201331846149, 115.8323175854778 -0.061201994035548, 115.7935792843545 -0.016731738196499, 115.7609380716723 0.032448518108626, 115.7349524476299 0.08549724917226199, 115.7160670334594 0.141506721107995, 115.704604963833 0.199518528396735, 115.7007623579402 0.258539999996514, 115.704604963833 0.317561193574161, 115.7160670334594 0.375572185744723, 115.7349524476299 0.431580361019164, 115.7609380716723 0.484627402249225, 115.7935792843545 0.533805690746695, 115.8323175854778 0.578273834812991, 115.8764901519695 0.6172710608988921, 115.9253411789701 0.6501302216746641, 115.9780348118635 0.676289199496785, 116.0336694479816 0.695300511613452, 116.0912931632754 0.706838954419269, 116.14992 0.710707157589071, 116.2085468367246 0.706838954419269, 116.2661705520184 0.695300511613452, 116.3218051881364 0.676289199496785, 116.3744988210298 0.650130221674677, 116.4233498480305 0.617271060898905, 116.4675224145222 0.578273834812991, 116.5062607156454 0.533805690746695, 116.5389019283276 0.484627402249225, 116.56488755237 0.431580361019164, 116.5837729665406 0.375572185744723, 116.5952350361669 0.317561193574161, 116.5990776420597 0.258539999996514))"
